text, sentiment
"Setelah makan es krim, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah berada di tempat yang dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah mandi air dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Badanku terasa lelah dan mual setelah hujan-hujanan, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan setelah berenang, masuk angin.",
"Setelah berada di ruangan ber-AC, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa setelah minum air es, masuk angin.",
"Badanku terasa lelah dan mual, masuk angin.",
"Setelah beraktivitas di udara dingin, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan setelah mandi air dingin, masuk angin.",
"Setelah makan es krim, masuk angin.",
"Aku sering minum minuman dingin, masuk angin.",
"Aku muntah dan sering bersendawa, masuk angin.",
"Aku muntah dan badanku kedinginan, masuk angin.",
"Emosiku mudah meluap, darah tinggi.",
"Badanku mudah kelelahan, darah tinggi.",
"Setelah stres berat, darah tinggi.",
"Emosiku sering tidak terkendali, darah tinggi.",
"Badanku mudah letih, darah tinggi.",
"Setelah situasi stres, darah tinggi.",
"Emosiku sulit dikontrol, darah tinggi.",
"Badanku sering terasa lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tinggi, darah tinggi.",
"Emosiku cenderung meledak-ledak, darah tinggi.",
"Badanku mudah capek, darah tinggi.",
"Setelah marah, darah tinggi.",
"Emosiku sulit ditenangkan, darah tinggi.",
"Badanku terasa lemah, darah tinggi.",
"Setelah situasi yang membuat emosiku tidak stabil, darah tinggi.",
"Emosiku rentan, darah tinggi.",
"Badanku sering terasa letih, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
"Setelah kejadian membuat emosiku tidak stabil, darah tinggi.",
"Emosiku cenderung meledak, darah tinggi.",
"Badanku terasa lemas, darah tinggi.",
"Setelah stres berkepanjangan, darah tinggi.",
"Emosiku sulit dikendalikan, darah tinggi.",
"Badanku mudah lelah, darah tinggi.",
"Setelah kejadian mengganggu pikiranku, darah tinggi.",
"Emosiku sering meluap, darah tinggi.",
"Badanku mudah lemas, darah tinggi.",
